exposed,infected,n_general_tested,n_infected_tested,n_neighbors_tested,n_neighbors_traced,quarantined,recovered,susceptible,test_rate,step,day
14,10,0,0,0,0,0,0,9976,0.0,0,0.0
17,10,0,0,0,0,0,0,9973,0.0,1,0.2
18,10,0,0,0,0,0,0,9972,0.0,2,0.4
22,10,0,0,0,0,0,0,9968,0.0,3,0.6
26,10,0,0,0,0,0,0,9964,0.0,4,0.8
27,12,0,0,0,0,0,1,9960,0.0,5,1.0
30,11,0,0,0,0,0,2,9957,0.0,6,1.2
39,11,0,0,0,0,0,2,9948,0.0,7,1.4
41,10,0,0,0,0,0,3,9946,0.0,8,1.6
44,11,0,0,0,0,0,4,9941,0.0,9,1.8
44,13,0,0,0,0,0,4,9939,0.0,10,2.0
45,15,0,0,0,0,0,5,9935,0.0,11,2.2
48,15,0,0,0,0,0,6,9931,0.0,12,2.4
48,16,0,0,0,0,0,8,9928,0.0,13,2.6
49,15,0,0,0,0,0,10,9926,0.0,14,2.8
50,17,0,0,0,0,0,11,9922,0.0,15,3.0
51,21,0,0,0,0,0,11,9917,0.0,16,3.2
55,19,0,0,0,0,0,13,9913,0.0,17,3.4
55,22,0,0,0,0,0,13,9910,0.0,18,3.6
59,24,0,0,0,0,0,13,9904,0.0,19,3.8
63,27,0,0,0,0,0,13,9897,0.0,20,4.0
65,28,0,0,0,0,0,14,9893,0.0,21,4.2
68,29,0,0,0,0,0,16,9887,0.0,22,4.4
72,30,0,0,0,0,0,18,9880,0.0,23,4.6
73,33,0,0,0,0,0,19,9875,0.0,24,4.8
75,33,0,0,0,0,0,21,9871,0.0,25,5.0
74,33,0,0,0,0,0,25,9868,0.0,26,5.2
79,36,0,0,0,0,0,27,9858,0.0,27,5.4
82,38,0,0,0,0,0,29,9851,0.0,28,5.6
84,39,0,0,0,0,0,33,9844,0.0,29,5.8
87,45,0,0,0,0,0,33,9835,0.0,30,6.0
92,46,0,0,0,0,0,35,9827,0.0,31,6.2
99,49,0,0,0,0,0,37,9815,0.0,32,6.4
102,48,0,0,0,0,0,41,9809,0.0,33,6.6
105,46,0,0,0,0,0,48,9801,0.0,34,6.8
110,51,0,0,0,0,0,52,9787,0.0,35,7.0
109,52,0,0,0,0,0,56,9783,0.0,36,7.2
123,51,0,0,0,0,0,60,9766,0.0,37,7.4
134,51,0,0,0,0,0,63,9752,0.0,38,7.6
140,52,0,0,0,0,0,66,9742,0.0,39,7.8
143,57,0,0,0,0,0,68,9732,0.0,40,8.0
159,54,0,0,0,0,0,74,9713,0.0,41,8.2
173,54,0,0,0,0,0,76,9697,0.0,42,8.4
195,57,0,0,0,0,0,80,9668,0.0,43,8.6
212,64,0,0,0,0,0,82,9642,0.0,44,8.8
224,64,0,0,0,0,0,87,9625,0.0,45,9.0
230,74,0,0,0,0,0,90,9606,0.0,46,9.2
248,76,0,0,0,0,0,94,9582,0.0,47,9.4
255,75,0,0,0,0,0,99,9571,0.0,48,9.6
273,82,0,0,0,0,0,103,9542,0.0,49,9.8
288,91,0,0,0,0,0,107,9514,0.0,50,10.0
304,101,0,0,0,0,0,112,9483,0.0,51,10.2
327,106,0,0,0,0,0,118,9449,0.0,52,10.4
354,114,0,0,0,0,0,123,9409,0.0,53,10.6
382,116,0,0,0,0,0,133,9369,0.0,54,10.8
422,120,0,0,0,0,0,138,9320,0.0,55,11.0
440,130,0,0,0,0,0,143,9287,0.0,56,11.2
460,141,0,0,0,0,0,155,9244,0.0,57,11.4
490,152,0,0,0,0,0,163,9195,0.0,58,11.6
535,147,0,0,0,0,0,184,9134,0.0,59,11.8
560,161,0,0,0,0,0,192,9087,0.0,60,12.0
584,170,0,0,0,0,0,203,9043,0.0,61,12.2
612,177,0,0,0,0,0,215,8996,0.0,62,12.4
618,198,0,0,0,0,0,222,8962,0.0,63,12.6
649,209,0,0,0,0,0,237,8905,0.0,64,12.8
664,226,0,0,0,0,0,250,8860,0.0,65,13.0
689,227,0,0,0,0,0,267,8817,0.0,66,13.2
723,237,0,0,0,0,0,281,8759,0.0,67,13.4
768,229,0,0,0,0,0,299,8704,0.0,68,13.6
778,236,0,0,0,0,0,312,8674,0.0,69,13.8
812,247,0,0,0,0,0,326,8615,0.0,70,14.0
840,261,0,0,0,0,0,340,8559,0.0,71,14.2
