exposed,infected,n_general_tested,n_infected_tested,n_neighbors_tested,n_neighbors_traced,quarantined,recovered,susceptible,test_rate,step,day
14,10,0,0,0,0,0,0,9976,0.0,0,0.0
13,9,0,0,0,0,0,2,9976,0.0,1,0.2
13,8,0,0,0,0,0,3,9976,0.0,2,0.4
13,7,0,0,0,0,0,4,9976,0.0,3,0.6
13,6,0,0,0,0,0,5,9976,0.0,4,0.8
13,6,0,0,0,0,0,5,9976,0.0,5,1.0
13,6,0,0,0,0,0,5,9976,0.0,6,1.2
13,4,0,0,0,0,0,7,9976,0.0,7,1.4
13,4,0,0,0,0,0,7,9976,0.0,8,1.6
13,4,0,0,0,0,0,7,9976,0.0,9,1.8
13,4,0,0,0,0,0,7,9976,0.0,10,2.0
13,3,0,0,0,0,0,8,9976,0.0,11,2.2
13,3,0,0,0,0,0,8,9976,0.0,12,2.4
11,4,0,0,0,0,0,9,9976,0.0,13,2.6
11,4,0,0,0,0,0,9,9976,0.0,14,2.8
11,3,0,0,0,0,0,10,9976,0.0,15,3.0
11,2,0,0,0,0,0,11,9976,0.0,16,3.2
12,2,0,0,0,0,0,11,9975,0.0,17,3.4
12,2,0,0,0,0,0,11,9975,0.0,18,3.6
10,4,0,0,0,0,0,11,9975,0.0,19,3.8
10,4,0,0,0,0,0,11,9975,0.0,20,4.0
11,4,0,0,0,0,0,11,9974,0.0,21,4.2
12,4,0,0,0,0,0,11,9973,0.0,22,4.4
13,4,0,0,0,0,0,11,9972,0.0,23,4.6
14,4,0,0,0,0,0,11,9971,0.0,24,4.8
14,5,0,0,0,0,0,11,9970,0.0,25,5.0
14,6,0,0,0,0,0,11,9969,0.0,26,5.2
16,7,0,0,0,0,0,11,9966,0.0,27,5.4
18,6,0,0,0,0,0,12,9964,0.0,28,5.6
19,5,0,0,0,0,0,13,9963,0.0,29,5.8
17,7,0,0,0,0,0,14,9962,0.0,30,6.0
16,8,0,0,0,0,0,14,9962,0.0,31,6.2
16,9,0,0,0,0,0,14,9961,0.0,32,6.4
19,9,0,0,0,0,0,14,9958,0.0,33,6.6
24,8,0,0,0,0,0,15,9953,0.0,34,6.8
25,9,0,0,0,0,0,15,9951,0.0,35,7.0
26,8,0,0,0,0,0,16,9950,0.0,36,7.2
27,8,0,0,0,0,0,17,9948,0.0,37,7.4
28,9,0,0,0,0,0,17,9946,0.0,38,7.6
28,9,0,0,0,0,0,18,9945,0.0,39,7.8
29,9,0,0,0,0,0,18,9944,0.0,40,8.0
30,9,0,0,0,0,0,18,9943,0.0,41,8.2
33,9,0,0,0,0,0,18,9940,0.0,42,8.4
31,10,0,0,0,0,0,20,9939,0.0,43,8.6
32,11,0,0,0,0,0,21,9936,0.0,44,8.8
34,11,0,0,0,0,0,22,9933,0.0,45,9.0
39,11,0,0,0,0,0,23,9927,0.0,46,9.2
42,11,0,0,0,0,0,25,9922,0.0,47,9.4
47,11,0,0,0,0,0,26,9916,0.0,48,9.6
52,11,0,0,0,0,0,26,9911,0.0,49,9.8
54,13,0,0,0,0,0,27,9906,0.0,50,10.0
55,12,0,0,0,0,0,29,9904,0.0,51,10.2
56,14,0,0,0,0,0,31,9899,0.0,52,10.4
61,11,0,0,0,0,0,35,9893,0.0,53,10.6
66,12,0,0,0,0,0,35,9887,0.0,54,10.8
75,14,0,0,0,0,0,35,9876,0.0,55,11.0
76,17,0,0,0,0,0,35,9872,0.0,56,11.2
81,20,0,0,0,0,0,37,9862,0.0,57,11.4
87,22,0,0,0,0,0,38,9853,0.0,58,11.6
95,24,0,0,0,0,0,38,9843,0.0,59,11.8
101,28,0,0,0,0,0,39,9832,0.0,60,12.0
109,31,0,0,0,0,0,40,9820,0.0,61,12.2
125,30,0,0,0,0,0,42,9803,0.0,62,12.4
135,31,0,0,0,0,0,45,9789,0.0,63,12.6
158,32,0,0,0,0,0,49,9761,0.0,64,12.8
171,36,0,0,0,0,0,53,9740,0.0,65,13.0
182,45,0,0,0,0,0,56,9717,0.0,66,13.2
198,51,0,0,0,0,0,57,9694,0.0,67,13.4
215,53,0,0,0,0,0,62,9670,0.0,68,13.6
235,61,0,0,0,0,0,64,9640,0.0,69,13.8
257,63,0,0,0,0,0,67,9613,0.0,70,14.0
273,66,0,0,0,0,0,70,9591,0.0,71,14.2
304,73,0,0,0,0,0,72,9551,0.0,72,14.4
326,80,0,0,0,0,0,74,9520,0.0,73,14.6
353,80,0,0,0,0,0,83,9484,0.0,74,14.8
365,85,0,0,0,0,0,87,9463,0.0,75,15.0
377,94,0,0,0,0,0,92,9437,0.0,76,15.2
380,107,0,0,0,0,0,96,9417,0.0,77,15.4
396,120,0,0,0,0,0,99,9385,0.0,78,15.6
414,131,0,0,0,0,0,107,9348,0.0,79,15.8
438,136,0,0,0,0,0,118,9308,0.0,80,16.0
456,136,0,0,0,0,0,133,9275,0.0,81,16.2
492,141,0,0,0,0,0,141,9226,0.0,82,16.4
526,148,0,0,0,0,0,150,9176,0.0,83,16.6
545,155,0,0,0,0,0,157,9143,0.0,84,16.8
586,160,0,0,0,0,0,166,9088,0.0,85,17.0
611,173,0,0,0,0,0,172,9044,0.0,86,17.2
645,180,0,0,0,0,0,183,8992,0.0,87,17.4
667,201,0,0,0,0,0,194,8938,0.0,88,17.6
703,211,0,0,0,0,0,208,8878,0.0,89,17.8
712,225,0,0,0,0,0,225,8838,0.0,90,18.0
741,240,0,0,0,0,0,235,8784,0.0,91,18.2
773,258,0,0,0,0,0,244,8725,0.0,92,18.4
804,271,0,0,0,0,0,262,8663,0.0,93,18.6
845,279,0,0,0,0,0,280,8596,0.0,94,18.8
873,297,0,0,0,0,0,306,8524,0.0,95,19.0
904,311,0,0,0,0,0,325,8460,0.0,96,19.2
934,332,0,0,0,0,0,343,8391,0.0,97,19.4
956,346,0,0,0,0,0,366,8332,0.0,98,19.6
989,353,0,0,0,0,0,397,8261,0.0,99,19.8
1027,368,0,0,0,0,0,417,8188,0.0,100,20.0
1062,383,0,0,0,0,0,449,8106,0.0,101,20.2
1076,406,0,0,0,0,0,467,8051,0.0,102,20.4
1114,421,0,0,0,0,0,490,7975,0.0,103,20.6
1139,425,0,0,0,0,0,521,7915,0.0,104,20.8
1159,448,0,0,0,0,0,546,7847,0.0,105,21.0
1180,470,0,0,0,0,0,566,7784,0.0,106,21.2
1201,491,0,0,0,0,0,594,7714,0.0,107,21.4
1194,518,0,0,0,0,0,630,7658,0.0,108,21.6
1207,527,0,0,0,0,0,670,7596,0.0,109,21.8
1213,533,0,0,0,0,0,710,7544,0.0,110,22.0
1225,557,0,0,0,0,0,742,7476,0.0,111,22.2
1240,577,0,0,0,0,0,776,7407,0.0,112,22.4
1253,595,0,0,0,0,0,816,7336,0.0,113,22.6
1267,611,0,0,0,0,0,847,7275,0.0,114,22.8
1276,623,0,0,0,0,0,885,7216,0.0,115,23.0
1311,616,0,0,0,0,0,925,7148,0.0,116,23.2
1319,639,0,0,0,0,0,964,7078,0.0,117,23.4
1327,661,0,0,0,0,0,994,7018,0.0,118,23.6
1359,667,0,0,0,0,0,1030,6944,0.0,119,23.8
1382,674,0,0,0,0,0,1065,6879,0.0,120,24.0
1383,671,0,0,0,0,0,1125,6821,0.0,121,24.2
1392,686,0,0,0,0,0,1158,6764,0.0,122,24.4
1404,696,0,0,0,0,0,1204,6696,0.0,123,24.6
1405,703,0,0,0,0,0,1250,6642,0.0,124,24.8
1409,709,0,0,0,0,0,1295,6587,0.0,125,25.0
1421,716,0,0,0,0,0,1342,6521,0.0,126,25.2
1406,723,0,0,0,0,0,1395,6476,0.0,127,25.4
1397,731,0,0,0,0,0,1443,6429,0.0,128,25.6
1375,756,0,0,0,0,0,1486,6383,0.0,129,25.8
