exposed,infected,n_general_tested,n_infected_tested,n_neighbors_tested,n_neighbors_traced,quarantined,recovered,susceptible,test_rate,step,day
576,194,0,0,0,0,0,366,8864,0.0,108,21.6
597,198,0,0,0,0,0,379,8826,0.0,109,21.8
619,207,0,0,0,0,0,389,8785,0.0,110,22.0
627,226,0,0,0,0,0,398,8749,0.0,111,22.2
642,237,0,0,0,0,0,410,8711,0.0,112,22.4
658,255,0,0,0,0,0,425,8662,0.0,113,22.6
671,263,0,0,0,0,0,445,8621,0.0,114,22.8
694,275,0,0,0,0,0,459,8572,0.0,115,23.0
700,286,0,0,0,0,0,475,8539,0.0,116,23.2
727,281,0,0,0,0,0,501,8491,0.0,117,23.4
731,299,0,0,0,0,0,523,8447,0.0,118,23.6
753,311,0,0,0,0,0,539,8397,0.0,119,23.8
778,324,0,0,0,0,0,552,8346,0.0,120,24.0
805,325,0,0,0,0,0,576,8294,0.0,121,24.2
821,322,0,0,0,0,0,607,8250,0.0,122,24.4
843,330,0,0,0,0,0,623,8204,0.0,123,24.6
864,323,0,0,0,0,0,645,8168,0.0,124,24.8
871,346,0,0,0,0,0,663,8120,0.0,125,25.0
877,371,0,0,0,0,0,678,8074,0.0,126,25.2
896,382,0,0,0,0,0,705,8017,0.0,127,25.4
919,386,0,0,0,0,0,731,7964,0.0,128,25.6
922,407,0,0,0,0,0,747,7924,0.0,129,25.8
950,414,0,0,0,0,0,774,7862,0.0,130,26.0
959,429,0,0,0,0,0,799,7813,0.0,131,26.2
984,436,0,0,0,0,0,818,7762,0.0,132,26.4
999,448,0,0,0,0,0,846,7707,0.0,133,26.6
981,475,0,0,0,0,0,875,7669,0.0,134,26.8
1001,488,0,0,0,0,0,900,7611,0.0,135,27.0
1025,490,0,0,0,0,0,938,7547,0.0,136,27.2
1027,495,0,0,0,0,0,976,7502,0.0,137,27.4
1040,514,0,0,0,0,0,1000,7446,0.0,138,27.6
1042,537,0,0,0,0,0,1025,7396,0.0,139,27.8
1058,536,0,0,0,0,0,1060,7346,0.0,140,28.0
1069,543,0,0,0,0,0,1087,7301,0.0,141,28.2
1090,542,0,0,0,0,0,1121,7247,0.0,142,28.4
1095,550,0,0,0,0,0,1160,7195,0.0,143,28.6
1110,554,0,0,0,0,0,1198,7138,0.0,144,28.8
1109,579,0,0,0,0,0,1217,7095,0.0,145,29.0
1107,596,0,0,0,0,0,1244,7053,0.0,146,29.2
1116,598,0,0,0,0,0,1283,7003,0.0,147,29.4
1131,597,0,0,0,0,0,1323,6949,0.0,148,29.6
1138,596,0,0,0,0,0,1371,6895,0.0,149,29.8
1137,616,0,0,0,0,0,1399,6848,0.0,150,30.0
1139,634,0,0,0,0,0,1432,6795,0.0,151,30.2
1136,663,0,0,0,0,0,1461,6740,0.0,152,30.4
1145,672,0,0,0,0,0,1502,6681,0.0,153,30.6
1151,668,0,0,0,0,0,1551,6630,0.0,154,30.8
1148,670,0,0,0,0,0,1598,6584,0.0,155,31.0
1151,672,0,0,0,0,0,1640,6537,0.0,156,31.2
1136,681,0,0,0,0,0,1685,6498,0.0,157,31.4
1138,681,0,0,0,0,0,1730,6451,0.0,158,31.6
1141,679,0,0,0,0,0,1774,6406,0.0,159,31.8
1145,679,0,0,0,0,0,1811,6365,0.0,160,32.0
1141,688,0,0,0,0,0,1854,6317,0.0,161,32.2
1136,692,0,0,0,0,0,1894,6278,0.0,162,32.4
1124,689,0,0,0,0,0,1945,6242,0.0,163,32.6
1117,708,0,0,0,0,0,1981,6194,0.0,164,32.8
1141,687,0,0,0,0,0,2032,6140,0.0,165,33.0
1132,691,0,0,0,0,0,2077,6100,0.0,166,33.2
1126,702,0,0,0,0,0,2119,6053,0.0,167,33.4
1108,708,0,0,0,0,0,2169,6015,0.0,168,33.6
1112,704,0,0,0,0,0,2211,5973,0.0,169,33.8
1092,713,0,0,0,0,0,2254,5941,0.0,170,34.0
1080,717,0,0,0,0,0,2297,5906,0.0,171,34.2
1080,718,0,0,0,0,0,2339,5863,0.0,172,34.4
1051,732,0,0,0,0,0,2381,5836,0.0,173,34.6
1042,734,0,0,0,0,0,2420,5804,0.0,174,34.8
1034,731,0,0,0,0,0,2467,5768,0.0,175,35.0
1038,717,0,0,0,0,0,2517,5728,0.0,176,35.2
1042,715,0,0,0,0,0,2556,5687,0.0,177,35.4
1028,710,0,0,0,0,0,2601,5661,0.0,178,35.6
1027,707,0,0,0,0,0,2645,5621,0.0,179,35.8
1029,702,0,0,0,0,0,2683,5586,0.0,180,36.0
1029,697,0,0,0,0,0,2720,5554,0.0,181,36.2
1023,696,0,0,0,0,0,2760,5521,0.0,182,36.4
1018,685,0,0,0,0,0,2804,5493,0.0,183,36.6
1004,698,0,0,0,0,0,2843,5455,0.0,184,36.8
981,691,0,0,0,0,0,2895,5433,0.0,185,37.0
