exposed,infected,n_general_tested,n_infected_tested,n_neighbors_tested,n_neighbors_traced,quarantined,recovered,susceptible,test_rate,step,day
14,10,0,0,0,0,0,0,9976,0.0,0,0.0
15,8,0,0,0,0,0,2,9975,0.0,1,0.2
17,7,0,0,0,0,0,3,9973,0.0,2,0.4
19,7,0,0,0,0,0,4,9970,0.0,3,0.6
20,7,0,0,0,0,0,4,9969,0.0,4,0.8
21,7,0,0,0,0,0,4,9968,0.0,5,1.0
23,7,0,0,0,0,0,4,9966,0.0,6,1.2
22,5,0,0,0,0,0,7,9966,0.0,7,1.4
22,5,0,0,0,0,0,8,9965,0.0,8,1.6
21,6,0,0,0,0,0,8,9965,0.0,9,1.8
23,6,0,0,0,0,0,8,9963,0.0,10,2.0
24,6,0,0,0,0,0,8,9962,0.0,11,2.2
24,6,0,0,0,0,0,8,9962,0.0,12,2.4
25,7,0,0,0,0,0,8,9960,0.0,13,2.6
28,7,0,0,0,0,0,9,9956,0.0,14,2.8
27,8,0,0,0,0,0,9,9956,0.0,15,3.0
28,7,0,0,0,0,0,11,9954,0.0,16,3.2
29,7,0,0,0,0,0,11,9953,0.0,17,3.4
29,7,0,0,0,0,0,11,9953,0.0,18,3.6
29,8,0,0,0,0,0,11,9952,0.0,19,3.8
29,11,0,0,0,0,0,11,9949,0.0,20,4.0
29,11,0,0,0,0,0,11,9949,0.0,21,4.2
29,12,0,0,0,0,0,11,9948,0.0,22,4.4
32,13,0,0,0,0,0,11,9944,0.0,23,4.6
30,15,0,0,0,0,0,12,9943,0.0,24,4.8
29,14,0,0,0,0,0,14,9943,0.0,25,5.0
30,13,0,0,0,0,0,17,9940,0.0,26,5.2
31,15,0,0,0,0,0,17,9937,0.0,27,5.4
31,15,0,0,0,0,0,17,9937,0.0,28,5.6
33,16,0,0,0,0,0,18,9933,0.0,29,5.8
34,14,0,0,0,0,0,20,9932,0.0,30,6.0
34,14,0,0,0,0,0,21,9931,0.0,31,6.2
33,16,0,0,0,0,0,21,9930,0.0,32,6.4
38,17,0,0,0,0,0,21,9924,0.0,33,6.6
39,18,0,0,0,0,0,23,9920,0.0,34,6.8
43,18,0,0,0,0,0,24,9915,0.0,35,7.0
44,16,0,0,0,0,0,26,9914,0.0,36,7.2
45,15,0,0,0,0,0,28,9912,0.0,37,7.4
46,16,0,0,0,0,0,29,9909,0.0,38,7.6
48,15,0,0,0,0,0,30,9907,0.0,39,7.8
48,17,0,0,0,0,0,30,9905,0.0,40,8.0
47,17,0,0,0,0,0,32,9904,0.0,41,8.2
46,19,0,0,0,0,0,32,9903,0.0,42,8.4
48,17,0,0,0,0,0,35,9900,0.0,43,8.6
49,18,0,0,0,0,0,36,9897,0.0,44,8.8
51,18,0,0,0,0,0,37,9894,0.0,45,9.0
53,18,0,0,0,0,0,38,9891,0.0,46,9.2
53,18,0,0,0,0,0,40,9889,0.0,47,9.4
59,18,0,0,0,0,0,40,9883,0.0,48,9.6
62,19,0,0,0,0,0,40,9879,0.0,49,9.8
62,20,0,0,0,0,0,41,9877,0.0,50,10.0
65,22,0,0,0,0,0,42,9871,0.0,51,10.2
69,20,0,0,0,0,0,44,9867,0.0,52,10.4
68,22,0,0,0,0,0,46,9864,0.0,53,10.6
73,22,0,0,0,0,0,47,9858,0.0,54,10.8
72,24,0,0,0,0,0,48,9856,0.0,55,11.0
75,26,0,0,0,0,0,50,9849,0.0,56,11.2
77,27,0,0,0,0,0,52,9844,0.0,57,11.4
75,32,0,0,0,0,0,53,9840,0.0,58,11.6
82,34,0,0,0,0,0,54,9830,0.0,59,11.8
83,38,0,0,0,0,0,54,9825,0.0,60,12.0
87,44,0,0,0,0,0,55,9814,0.0,61,12.2
98,46,0,0,0,0,0,57,9799,0.0,62,12.4
107,47,0,0,0,0,0,59,9787,0.0,63,12.6
113,49,0,0,0,0,0,61,9777,0.0,64,12.8
118,51,0,0,0,0,0,65,9766,0.0,65,13.0
123,55,0,0,0,0,0,66,9756,0.0,66,13.2
126,56,0,0,0,0,0,69,9749,0.0,67,13.4
137,56,0,0,0,0,0,72,9735,0.0,68,13.6
139,57,0,0,0,0,0,77,9727,0.0,69,13.8
138,61,0,0,0,0,0,79,9722,0.0,70,14.0
149,61,0,0,0,0,0,83,9707,0.0,71,14.2
161,62,0,0,0,0,0,85,9692,0.0,72,14.4
165,64,0,0,0,0,0,92,9679,0.0,73,14.6
174,65,0,0,0,0,0,95,9666,0.0,74,14.8
180,64,0,0,0,0,0,101,9655,0.0,75,15.0
187,69,0,0,0,0,0,102,9642,0.0,76,15.2
200,71,0,0,0,0,0,106,9623,0.0,77,15.4
206,75,0,0,0,0,0,109,9610,0.0,78,15.6
218,79,0,0,0,0,0,113,9590,0.0,79,15.8
227,81,0,0,0,0,0,121,9571,0.0,80,16.0
228,86,0,0,0,0,0,127,9559,0.0,81,16.2
239,95,0,0,0,0,0,130,9536,0.0,82,16.4
242,94,0,0,0,0,0,140,9524,0.0,83,16.6
249,92,0,0,0,0,0,150,9509,0.0,84,16.8
266,92,0,0,0,0,0,158,9484,0.0,85,17.0
290,92,0,0,0,0,0,162,9456,0.0,86,17.2
304,97,0,0,0,0,0,169,9430,0.0,87,17.4
314,98,0,0,0,0,0,179,9409,0.0,88,17.6
324,96,0,0,0,0,0,185,9395,0.0,89,17.8
331,104,0,0,0,0,0,193,9372,0.0,90,18.0
346,111,0,0,0,0,0,196,9347,0.0,91,18.2
354,108,0,0,0,0,0,208,9330,0.0,92,18.4
357,114,0,0,0,0,0,217,9312,0.0,93,18.6
368,124,0,0,0,0,0,224,9284,0.0,94,18.8
385,129,0,0,0,0,0,232,9254,0.0,95,19.0
394,139,0,0,0,0,0,238,9229,0.0,96,19.2
412,143,0,0,0,0,0,246,9199,0.0,97,19.4
420,151,0,0,0,0,0,255,9174,0.0,98,19.6
432,164,0,0,0,0,0,260,9144,0.0,99,19.8
452,173,0,0,0,0,0,266,9109,0.0,100,20.0
472,178,0,0,0,0,0,277,9073,0.0,101,20.2
497,182,0,0,0,0,0,288,9033,0.0,102,20.4
513,180,0,0,0,0,0,304,9003,0.0,103,20.6
541,185,0,0,0,0,0,315,8959,0.0,104,20.8
