exposed,infected,n_general_tested,n_infected_tested,n_neighbors_tested,n_neighbors_traced,quarantined,recovered,susceptible,test_rate,step,day
14,10,0,0,0,0,0,0,9976,0.0,0,0.0
15,9,0,0,0,0,0,1,9975,0.0,1,0.2
15,10,0,0,0,0,0,1,9974,0.0,2,0.4
17,9,0,0,0,0,0,2,9972,0.0,3,0.6
18,9,0,0,0,0,0,2,9971,0.0,4,0.8
18,9,0,0,0,0,0,3,9970,0.0,5,1.0
20,9,0,0,0,0,0,4,9967,0.0,6,1.2
19,10,0,0,0,0,0,4,9967,0.0,7,1.4
18,11,0,0,0,0,0,4,9967,0.0,8,1.6
18,11,0,0,0,0,0,4,9967,0.0,9,1.8
18,11,0,0,0,0,0,4,9967,0.0,10,2.0
18,10,0,0,0,0,0,5,9967,0.0,11,2.2
16,12,0,0,0,0,0,5,9967,0.0,12,2.4
16,12,0,0,0,0,0,6,9966,0.0,13,2.6
17,9,0,0,0,0,0,9,9965,0.0,14,2.8
17,8,0,0,0,0,0,10,9965,0.0,15,3.0
17,8,0,0,0,0,0,10,9965,0.0,16,3.2
18,8,0,0,0,0,0,10,9964,0.0,17,3.4
18,6,0,0,0,0,0,12,9964,0.0,18,3.6
18,5,0,0,0,0,0,13,9964,0.0,19,3.8
19,5,0,0,0,0,0,13,9963,0.0,20,4.0
19,5,0,0,0,0,0,13,9963,0.0,21,4.2
20,5,0,0,0,0,0,13,9962,0.0,22,4.4
19,6,0,0,0,0,0,13,9962,0.0,23,4.6
15,8,0,0,0,0,0,15,9962,0.0,24,4.8
14,9,0,0,0,0,0,15,9962,0.0,25,5.0
16,9,0,0,0,0,0,15,9960,0.0,26,5.2
16,8,0,0,0,0,0,16,9960,0.0,27,5.4
17,7,0,0,0,0,0,17,9959,0.0,28,5.6
17,8,0,0,0,0,0,17,9958,0.0,29,5.8
17,9,0,0,0,0,0,17,9957,0.0,30,6.0
19,10,0,0,0,0,0,18,9953,0.0,31,6.2
20,10,0,0,0,0,0,18,9952,0.0,32,6.4
22,9,0,0,0,0,0,19,9950,0.0,33,6.6
21,10,0,0,0,0,0,19,9950,0.0,34,6.8
21,9,0,0,0,0,0,21,9949,0.0,35,7.0
22,9,0,0,0,0,0,23,9946,0.0,36,7.2
22,10,0,0,0,0,0,23,9945,0.0,37,7.4
23,10,0,0,0,0,0,24,9943,0.0,38,7.6
21,11,0,0,0,0,0,26,9942,0.0,39,7.8
21,12,0,0,0,0,0,26,9941,0.0,40,8.0
23,13,0,0,0,0,0,26,9938,0.0,41,8.2
24,13,0,0,0,0,0,27,9936,0.0,42,8.4
25,12,0,0,0,0,0,29,9934,0.0,43,8.6
24,13,0,0,0,0,0,30,9933,0.0,44,8.8
27,13,0,0,0,0,0,30,9930,0.0,45,9.0
28,14,0,0,0,0,0,30,9928,0.0,46,9.2
29,14,0,0,0,0,0,31,9926,0.0,47,9.4
